  TEMPO #       VELOCID #                  POSICAO #              dv/dt #              dxdt
    5.1 #       1450.027209026002  #       7525.017875428852    # -9.786863477988089 # 1450.027209026002 
    5.2 #       1449.0485226782032 #       7670.020596331452    # -9.786418454744098 # 1449.0485226782032
    5.3 #       1448.0698808327288 #       7814.925448599272    # -9.785973762188018 # 1448.0698808327288
    5.4 #       1447.09128345651   #       7959.732436682545    # -9.785529400242021 # 1447.09128345651  
    5.5 #       1446.1127305164857 #       8104.441565028196    # -9.785085368828346 # 1446.1127305164857
    5.6 #       1445.134221979603  #       8249.052838079844    # -9.784641667869302 # 1445.134221979603 
    5.7 #       1444.1557578128159 #       8393.566260277805    # -9.784198297287261 # 1444.1557578128159
    5.8 #       1443.1773379830872 #       8537.981836059087    # -9.78375525700467  # 1443.1773379830872
    5.9 #       1442.1989624573869 #       8682.299569857396    # -9.78331254694403  # 1442.1989624573869
    6.0 #       1441.2206312026924 #       8826.519466103135    # -9.78287016702792  # 1441.2206312026924
    6.1 #       1440.2423441859896 #       8970.641529223403    # -9.782428117178979 # 1440.2423441859896
    6.2 #       1439.2641013742718 #       9114.665763642002    # -9.781986397319914 # 1439.2641013742718
    6.3 #       1438.2859027345398 #       9258.592173779429    # -9.781545007373497 # 1438.2859027345398
    6.4 #       1437.3077482338024 #       9402.420764052882    # -9.781103947262572 # 1437.3077482338024
    6.5 #       1436.3296378390762 #       9546.151538876262    # -9.78066321691005  # 1436.3296378390762
    6.6 #       1435.3515715173853 #       9689.78450266017     # -9.780222816238895 # 1435.3515715173853
    6.7 #       1434.3735492357614 #       9833.319659811908    # -9.779782745172152 # 1434.3735492357614
    6.8 #       1433.3955709612442 #       9976.757014735485    # -9.779343003632924 # 1433.3955709612442
    6.9 #       1432.4176366608808 #       10120.09657183161    # -9.778903591544388 # 1432.4176366608808
    7.0 #       1431.4397463017265 #       10263.338335497698   # -9.778464508829785 # 1431.4397463017265
    7.1 #       1430.4618998508436 #       10406.48231012787    # -9.778025755412411 # 1430.4618998508436
    7.2 #       1429.4840972753022 #       10549.528500112956   # -9.777587331215644 # 1429.4840972753022
    7.3 #       1428.5063385421806 #       10692.476909840487   # -9.777149236162918 # 1428.5063385421806
    7.4 #       1427.5286236185643 #       10835.327543694704   # -9.77671147017774  # 1427.5286236185643
    7.5 #       1426.5509524715465 #       10978.08040605656    # -9.776274033183677 # 1426.5509524715465
    7.6 #       1425.573325068228  #       11120.735501303716   # -9.77583692510437  # 1425.573325068228 
    7.7 #       1424.5957413757176 #       11263.29283381054    # -9.775400145863513 # 1424.5957413757176
    7.8 #       1423.6182013611312 #       11405.752407948112   # -9.77496369538488  # 1423.6182013611312
    7.9 #       1422.6407049915927 #       11548.114228084225   # -9.774527573592303 # 1422.6407049915927
    8.0 #       1421.6632522342334 #       11690.378298583384   # -9.774091780409686 # 1421.6632522342334
    8.1 #       1420.6858430561924 #       11832.544623806807   # -9.773656315760988 # 1420.6858430561924
    8.2 #       1419.7084774246164 #       11974.613208112427   # -9.773221179570248 # 1419.7084774246164
    8.3 #       1418.7311553066593 #       12116.584055854888   # -9.772786371761557 # 1418.7311553066593
    8.4 #       1417.7538766694831 #       12258.457171385555   # -9.772351892259083 # 1417.7538766694831
    8.5 #       1416.7766414802572 #       12400.232559052503   # -9.771917740987055 # 1416.7766414802572
    8.6 #       1415.7994497061586 #       12541.91022320053    # -9.771483917869766 # 1415.7994497061586
    8.7 #       1414.8223013143715 #       12683.490168171145   # -9.77105042283158  # 1414.8223013143715
    8.8 #       1413.8451962720883 #       12824.972398302583   # -9.770617255796921 # 1413.8451962720883
    8.9 #       1412.8681345465086 #       12966.356917929792   # -9.770184416690283 # 1412.8681345465086
